id,label,building,level,z,height,kind,center,entry,polygon,reference,evidence,model_status,qa_cameras,qa_status,notes
MAIN_L1_SERVANT,Servant Sitting Room,MAIN,L1,0.1,2.4,sitting,"[-6.130800000000001, 15.3459, 0.1]","[-4.8208, 16.7265, 0.1]","[[-7.5194, 16.5672], [-7.0216, 16.6734], [-6.550000000000001, 16.6203], [-6.3666, 17.27343], [-4.323, 17.27343], [-4.323, 16.49286], [-4.663600000000001, 16.49286], [-4.663600000000001, 14.3901], [-7.5194, 14.3901]]",HABS PA-5346 sheet 04,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L1_SERVANT_A"", ""CAM_MAIN_L1_SERVANT_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn. Physical floor revision08 follows actual modeled wall faces or a door-side shared-edge notch. Census polygon retained separately; C source trace precision is unchanged."
MAIN_L1_SERVICE_STAIR,Service Stair,MAIN,L1,0.1,2.4,stair,"[-3.7204, 17.416800000000002, 0.1]","[-3.4584, 16.461000000000002, 0.1]","[[-6.288, 17.9478], [-2.5676, 17.9478], [-2.5676, 16.461000000000002], [-4.5064, 16.461000000000002], [-4.5064, 17.0451], [-6.288, 17.0451]]",HABS PA-5346 sheet 04,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L1_SERVICE_STAIR_A"", ""CAM_MAIN_L1_SERVICE_STAIR_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn."
MAIN_L1_ENTRY,Entry,MAIN,L1,0.1,2.4,entry,"[8.384, 11.7882, 0.1]","[9.432, 11.894400000000001, 0.1]","[[7.178800000000001, 12.690900000000001], [9.5892, 12.690900000000001], [9.5892, 10.9917], [7.178800000000001, 10.9917]]",HABS PA-5346 sheet 04,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L1_ENTRY_A"", ""CAM_MAIN_L1_ENTRY_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn."
MAIN_L1_COAT,Coat,MAIN,L1,0.1,2.4,closet,"[9.5368, 13.2219, 0.1]","[8.8032, 12.9033, 0.1]","[[8.8032, 13.6998], [10.218, 13.6998], [10.218, 12.744], [8.8032, 12.744]]",HABS PA-5346 sheet 04,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L1_COAT_A"", ""CAM_MAIN_L1_COAT_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn."
MAIN_L1_STAIR,Main Stair,MAIN,L1,0.1,2.4,stair,"[5.9736, 13.1157, 0.1]","[6.969200000000001, 12.213000000000001, 0.1]","[[4.3492, 13.6998], [7.6504, 13.6998], [7.6504, 12.531600000000001], [4.3492, 12.531600000000001]]",HABS PA-5346 sheet 04,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L1_STAIR_A"", ""CAM_MAIN_L1_STAIR_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn."
MAIN_L1_LOGGIA,Loggia,MAIN,L1,0.1,2.4,loggia,"[12.314, 10.9917, 0.1]","[14.4624, 10.089, 0.1]","[[10.8992, 12.372300000000001], [12.4712, 12.3192], [14.148, 10.5138], [19.8072, 10.5138], [19.8072, 9.823500000000001], [10.8992, 9.823500000000001]]",HABS PA-5346 sheet 04,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L1_LOGGIA_A"", ""CAM_MAIN_L1_LOGGIA_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn. Physical floor revision08 follows actual modeled wall faces or a door-side shared-edge notch. Census polygon retained separately; C source trace precision is unchanged."
MAIN_L1_TERRACE_W,West Terrace,MAIN,L1,0.0,2.4,terrace,"[-2.358, 2.2833, 0.0]","[-0.1572, 2.7612, 0.0]","[[-4.6112, 4.4604], [-0.1572, 4.4604], [-0.1572, 0.1062], [-4.6112, 0.1062]]",HABS PA-5346 sheet 04,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L1_TERRACE_W_A"", ""CAM_MAIN_L1_TERRACE_W_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn."
MAIN_L1_TERRACE_E,East Terrace,MAIN,L1,0.0,2.4,terrace,"[12.418800000000001, 3.6108000000000002, 0.0]","[10.6896, 5.7879000000000005, 0.0]","[[11.790000000000001, 8.549100000000001], [14.148, 8.549100000000001], [14.148, 0.0531], [6.9168, 0.0531], [6.9168, 2.0709], [10.6896, 2.0709], [10.6896, 4.4073], [6.9168, 4.4073], [6.9168, 4.6728000000000005], [10.7944, 4.6728000000000005], [10.7944, 5.9472000000000005], [11.790000000000001, 5.9472000000000005]]",HABS PA-5346 sheet 04,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L1_TERRACE_E_A"", ""CAM_MAIN_L1_TERRACE_E_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn."
MAIN_L1_HATCH,Living Room Water Stair,MAIN,L1,0.1,2.4,water_stair,"[8.5412, 3.186, 0.1]","[6.9168, 3.186, 0.1]","[[6.9168, 4.1418], [10.5324, 4.1418], [10.5324, 2.2302], [6.9168, 2.2302]]",HABS PA-5346 sheet 04,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L1_HATCH_A"", ""CAM_MAIN_L1_HATCH_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn."
MAIN_L2_DRESSING,Dressing Room,MAIN,L2,2.8448,2.17,dressing,"[-2.3056, 13.6998, 2.8448]","[-0.3144, 13.806000000000001, 2.8448]","[[-3.8252, 16.142400000000002], [-0.3144, 16.142400000000002], [-0.3144, 14.337], [0.1572, 14.337], [0.1572, 12.744], [-0.9432, 12.744], [-0.9432, 11.575800000000001], [-3.8252, 11.575800000000001]]",HABS PA-5346 sheet 05,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L2_DRESSING_A"", ""CAM_MAIN_L2_DRESSING_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn. Physical floor revision08 follows actual modeled wall faces or a door-side shared-edge notch. Census polygon retained separately; C source trace precision is unchanged."
MAIN_L2_MASTER,Master Bedroom,MAIN,L2,2.8448,2.17,bedroom,"[2.2008, 9.6111, 2.8448]","[1.6768, 12.372300000000001, 2.8668]","[[0.1572, 12.1068], [2.1484, 12.1068], [2.1484, 12.4785], [4.6112, 12.4785], [4.6112, 7.1685], [-0.2096, 7.1685], [-0.2096, 8.2836], [0.1572, 8.2836]]",HABS PA-5346 sheet 05,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L2_MASTER_A"", ""CAM_MAIN_L2_MASTER_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn."
MAIN_L2_BATH_N,Bath (north),MAIN,L2,2.8448,2.17,bathroom,"[1.7292, 15.239700000000001, 2.8448]","[0.4716, 14.5494, 2.8448]","[[0.3144, 16.0362], [3.3536, 16.0362], [3.3536, 14.4963], [0.3144, 14.4963]]",HABS PA-5346 sheet 05,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L2_BATH_N_A"", ""CAM_MAIN_L2_BATH_N_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn. Physical floor revision08 follows actual modeled wall faces or a door-side shared-edge notch. Census polygon retained separately; C source trace precision is unchanged."
MAIN_L2_BATH_G,Bath (guest),MAIN,L2,2.8448,2.17,bathroom,"[6.130800000000001, 11.575800000000001, 2.8448]","[7.074, 11.4696, 2.8448]","[[5.1876, 12.372300000000001], [7.0216, 12.372300000000001], [7.0216, 10.7262], [5.1876, 10.7262]]",HABS PA-5346 sheet 05,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L2_BATH_G_A"", ""CAM_MAIN_L2_BATH_G_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn. Physical floor revision08 follows actual modeled wall faces or a door-side shared-edge notch. Census polygon retained separately; C source trace precision is unchanged."
MAIN_L2_BATH_M,Bath (master),MAIN,L2,2.8448,2.17,bathroom,"[6.0784, 8.389800000000001, 2.8448]","[6.0784, 7.56675, 2.8668]","[[5.1352, 9.8766], [7.0216, 9.8766], [7.0216, 6.9561], [5.1352, 6.9561]]",HABS PA-5346 sheet 05,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L2_BATH_M_A"", ""CAM_MAIN_L2_BATH_M_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn. Physical floor revision08 follows actual modeled wall faces or a door-side shared-edge notch. Census polygon retained separately; C source trace precision is unchanged."
MAIN_L2_HALL,Hall,MAIN,L2,2.8448,2.17,hall,"[8.8556, 13.9122, 2.8448]","[7.9648, 13.9122, 2.8448]","[[0.2096, 14.2308], [3.5632, 14.2308], [3.5632, 15.239700000000001], [5.4496, 15.239700000000001], [5.4496, 15.1335], [10.951600000000001, 15.1335], [10.951600000000001, 11.257200000000001], [8.2268, 11.257200000000001], [8.2268, 10.4076], [7.388400000000001, 10.4076], [7.388400000000001, 12.690900000000001], [8.0172, 12.690900000000001], [8.0172, 13.6998], [4.3492, 13.6998], [4.3492, 12.690900000000001], [0.2096, 12.690900000000001]]",HABS PA-5346 sheet 05,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L2_HALL_A"", ""CAM_MAIN_L2_HALL_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn."
MAIN_L2_GUEST,Guest Bedroom,MAIN,L2,2.8448,2.17,bedroom,"[9.0652, 8.389800000000001, 2.8448]","[7.5456, 10.460700000000001, 2.8448]","[[7.4408, 10.5138], [10.8468, 10.5138], [10.8468, 6.9030000000000005], [7.4408, 6.9030000000000005]]",HABS PA-5346 sheet 05,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L2_GUEST_A"", ""CAM_MAIN_L2_GUEST_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn."
MAIN_L2_TERRACE_W,Dressing Room Terrace,MAIN,L2,2.8448,2.17,terrace,"[-8.908000000000001, 15.239700000000001, 2.8448]","[-4.454000000000001, 14.2308, 2.8448]","[[-13.2048, 17.7885], [-4.5064, 17.7885], [-4.5064, 12.7971], [-13.2048, 12.7971]]",HABS PA-5346 sheet 05,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L2_TERRACE_W_A"", ""CAM_MAIN_L2_TERRACE_W_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn."
MAIN_L2_TERRACE_S,Master Bedroom Terrace,MAIN,L2,2.8448,2.17,terrace,"[3.3012, 2.2833, 2.8448]","[1.4148, 6.7437000000000005, 2.8448]","[[-0.262, 6.6375], [7.0216, 6.6375], [7.0216, -1.9647000000000001], [-0.262, -1.9647000000000001]]",HABS PA-5346 sheet 05,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L2_TERRACE_S_A"", ""CAM_MAIN_L2_TERRACE_S_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn."
MAIN_L2_TERRACE_E,Guest Bedroom Terrace,MAIN,L2,2.8448,2.17,terrace,"[15.143600000000001, 8.549100000000001, 2.8448]","[11.004000000000001, 8.389800000000001, 2.8448]","[[11.423200000000001, 10.142100000000001], [19.4404, 10.142100000000001], [19.4404, 6.7968], [11.423200000000001, 6.7968]]",HABS PA-5346 sheet 05,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L2_TERRACE_E_A"", ""CAM_MAIN_L2_TERRACE_E_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn."
MAIN_L2_TERRACE_N,North Stair Terrace,MAIN,L2,2.8448,2.17,terrace,"[6.4976, 17.3106, 2.8448]","[6.3928, 15.4521, 2.8448]","[[5.5544, 21.9834], [7.4408, 21.9834], [7.4408, 21.1338], [7.7028, 21.1338], [7.7028, 19.328400000000002], [7.5456, 19.328400000000002], [7.5456, 15.5052], [5.5544, 15.5052]]",HABS PA-5346 sheet 05,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L2_TERRACE_N_A"", ""CAM_MAIN_L2_TERRACE_N_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn."
MAIN_L2_STAIR,Main Stair L2,MAIN,L2,2.8448,2.17,stair,"[4.6112, 14.602500000000001, 2.8448]","[5.8688, 14.337, 2.8448]","[[3.668, 15.1335], [5.6592, 15.1335], [5.6592, 14.124600000000001], [3.668, 14.124600000000001]]",HABS PA-5346 sheet 05,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L2_STAIR_A"", ""CAM_MAIN_L2_STAIR_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn."
MAIN_L2_CLOSET_M,Master Bedroom Wardrobe,MAIN,L2,2.8448,2.17,closet,"[1.2576, 11.9475, 2.8448]","[1.2576, 11.416500000000001, 2.8448]","[[0.524, 12.3192], [2.0436, 12.3192], [2.0436, 11.5227], [0.524, 11.5227]]",HABS PA-5346 sheet 05,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L2_CLOSET_M_A"", ""CAM_MAIN_L2_CLOSET_M_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn. Physical floor revision08 follows actual modeled wall faces or a door-side shared-edge notch. Census polygon retained separately; C source trace precision is unchanged. Ceiling revision08b shares its boundary with adjoining room/corridor soffits; semantic room bounds remain unchanged."
MAIN_L2_CLOSET_G,Guest Bedroom Wardrobe,MAIN,L2,2.8448,2.17,closet,"[9.5892, 10.9917, 2.8448]","[9.5892, 10.5669, 2.8448]","[[8.3316, 11.416500000000001], [10.8468, 11.416500000000001], [10.8468, 10.6731], [8.3316, 10.6731]]",HABS PA-5346 sheet 05,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L2_CLOSET_G_A"", ""CAM_MAIN_L2_CLOSET_G_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn. Ceiling revision08b shares its boundary with adjoining room/corridor soffits; semantic room bounds remain unchanged."
MAIN_L3_STUDY,Study,MAIN,L3,5.26415,2.04,study,"[-2.2532, 13.9122, 5.26415]","[-0.4716, 13.2219, 5.26415]","[[-3.8776, 16.0893], [-0.8908, 16.0893], [-0.8908, 14.4963], [-0.4192, 14.4963], [-0.4192, 11.575800000000001], [-3.8776, 11.575800000000001]]",HABS PA-5346 sheet 06,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L3_STUDY_A"", ""CAM_MAIN_L3_STUDY_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn. The census polygon is inset; physical slab/finish separately continue to measured inner wall faces and window sill, retaining the chimney steps and existing gallery threshold."
MAIN_L3_BATH,Bath,MAIN,L3,5.26415,2.04,bathroom,"[1.1528, 14.9742, 5.26415]","[1.572, 13.965300000000001, 5.26415]","[[0.4716, 15.9831], [1.834, 15.9831], [1.834, 13.9122], [0.4716, 13.9122]]",HABS PA-5346 sheet 06,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L3_BATH_A"", ""CAM_MAIN_L3_BATH_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn. Physical floor revision08 follows actual modeled wall faces or a door-side shared-edge notch. Census polygon retained separately; C source trace precision is unchanged."
MAIN_L3_GALLERY,Gallery,MAIN,L3,5.26415,2.04,gallery,"[3.4584, 13.168800000000001, 5.26415]","[0.2096, 13.2219, 5.26415]","[[0.262, 13.9122], [1.9912, 13.9122], [1.9912, 13.2219], [5.6068, 13.2219], [5.6068, 12.531600000000001], [0.2096, 12.531600000000001]]",HABS PA-5346 sheet 06,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L3_GALLERY_A"", ""CAM_MAIN_L3_GALLERY_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn. Physical floor revision08 follows actual modeled wall faces or a door-side shared-edge notch. Census polygon retained separately; C source trace precision is unchanged."
MAIN_L3_ALCOVE,Sleeping Alcove,MAIN,L3,5.26415,2.04,sleeping_alcove,"[6.4976, 13.806000000000001, 5.26415]","[5.6592, 13.0626, 5.26415]","[[5.6592, 14.921100000000001], [7.388400000000001, 14.921100000000001], [7.388400000000001, 12.6378], [5.6592, 12.6378]]",HABS PA-5346 sheet 06,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L3_ALCOVE_A"", ""CAM_MAIN_L3_ALCOVE_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn. Physical floor revision08 follows actual modeled wall faces or a door-side shared-edge notch. Census polygon retained separately; C source trace precision is unchanged."
MAIN_L3_TERRACE,Third Floor Terrace,MAIN,L3,5.26415,2.04,terrace,"[3.0916, 10.4076, 5.26415]","[3.0916, 12.4254, 5.26415]","[[0.3668, 12.3192], [5.3972, 12.3192], [5.3972, 9.982800000000001], [7.1264, 9.982800000000001], [7.1264, 12.2661], [8.5936, 12.2661], [8.5936, 13.487400000000001], [10.4276, 13.487400000000001], [10.4276, 8.549100000000001], [0.3668, 8.549100000000001]]",HABS PA-5346 sheet 06,C,revision10 physical checkpoint; final visual/navigation acceptance pending,"[""CAM_MAIN_L3_TERRACE_A"", ""CAM_MAIN_L3_TERRACE_B""]",NOT_ACCEPTED,"Room name and topology from HABS; manually traced boundaries, pixel tolerance 1–3 pixels; construction thickness/door heights approximated. Baths remain separate as drawn."
