component_id,source,original,original_unit,meters,method,uncertainty_m,model_m,difference_m,evidence,notes
MAIN_LIVING_NOMINAL_WIDTH,HABS PA-5346 sheet 04,33 ft 8 in,feet/inches,10.261600000000001,read dimension label,0.15,,,A,
MAIN_KITCHEN_NOMINAL_LENGTH,HABS PA-5346 sheet 04,15 ft 9 in,feet/inches,4.8006,read dimension label,0.1,,,A,
MAIN_KITCHEN_NOMINAL_WIDTH,HABS PA-5346 sheet 04,12 ft,feet/inches,3.6576000000000004,read dimension label,0.1,,,A,
MAIN_SERVANT_NOMINAL_LENGTH,HABS PA-5346 sheet 04,11 ft 5 in,feet/inches,3.4798,read dimension label,0.1,,,A,
MAIN_SERVANT_NOMINAL_WIDTH,HABS PA-5346 sheet 04,9 ft 4 in,feet/inches,2.8448,read dimension label,0.1,,,A,
MAIN_LEVEL_2,HABS PA-5346 sheet 10,9 ft 4 in,feet/inches,2.8448,read dimension label,0.025,2.8448,0.0,A,
MAIN_LEVEL_3,HABS PA-5346 sheet 10,17 ft 3.25 in,feet/inches,5.264150000000001,read dimension label,0.025,5.26415,-8.881784197001252e-16,A,
MAIN_ROOF_EAST,HABS PA-5346 sheet 10,24 ft 7.375 in,feet/inches,7.502525000000001,read dimension label,0.035,7.502525,-8.881784197001252e-16,A,
MAIN_ROOF_WEST,HABS PA-5346 sheet 10,24 ft 11.75 in,feet/inches,7.613650000000001,read dimension label,0.035,7.61365,-8.881784197001252e-16,A,
GUEST_THEATER_LENGTH,HABS PA-5346-A sheet 1 original TIFF,27 ft 9 in,feet/inches,8.4582,printed dimension label independently viewed,0.0254,,,A,Theater nominal length; nominal room dimensions do not imply rectangular boundary
GUEST_THEATER_DEPTH,HABS PA-5346-A sheet 1 original TIFF,19 ft 5 in,feet/inches,5.9182,printed dimension label independently viewed,0.0254,,,A,Theater nominal depth; nominal room dimensions do not imply rectangular boundary
GUEST_POOL_LENGTH,HABS PA-5346-A sheet 1 original TIFF,30 ft 1 in,feet/inches,9.1694,printed dimension label independently viewed,0.0254,9.1694,,A,Pool water-plan length; nominal room dimensions do not imply rectangular boundary
GUEST_POOL_WIDTH,HABS PA-5346-A sheet 1 original TIFF,13 ft 0 in,feet/inches,3.9624,printed dimension label independently viewed,0.0254,3.9624,,A,Pool water-plan width; nominal room dimensions do not imply rectangular boundary
GUEST_BOILER_DIM_1,HABS PA-5346-A sheet 1 original TIFF,4 ft 7 in,feet/inches,1.397,printed dimension label independently viewed,0.0254,,,A,Boiler room nominal shorter dimension; nominal room dimensions do not imply rectangular boundary
GUEST_BOILER_DIM_2,HABS PA-5346-A sheet 1 original TIFF,8 ft 2 in,feet/inches,2.4892,printed dimension label independently viewed,0.0254,,,A,Boiler room nominal longer dimension; nominal room dimensions do not imply rectangular boundary
GUEST_GUEST_ROOM_LENGTH,HABS PA-5346-A sheet 1 original TIFF,15 ft 9 in,feet/inches,4.8006,printed dimension label independently viewed,0.0254,,,A,Guest room nominal width; nominal room dimensions do not imply rectangular boundary
GUEST_GUEST_ROOM_DEPTH,HABS PA-5346-A sheet 1 original TIFF,14 ft 1 in,feet/inches,4.2926,printed dimension label independently viewed,0.0254,,,A,Guest room nominal depth; nominal room dimensions do not imply rectangular boundary
GUEST_LAUNDRY_LENGTH,HABS PA-5346-A sheet 1 original TIFF,11 ft 7 in,feet/inches,3.5306,printed dimension label independently viewed,0.0254,,,A,Laundry room nominal width; nominal room dimensions do not imply rectangular boundary
GUEST_LAUNDRY_DEPTH,HABS PA-5346-A sheet 1 original TIFF,9 ft 8 in,feet/inches,2.9464,printed dimension label independently viewed,0.0254,,,A,Laundry room nominal depth; nominal room dimensions do not imply rectangular boundary
GUEST_BASE_BATH_LENGTH,HABS PA-5346-A sheet 1 original TIFF,6 ft 8 in,feet/inches,2.032,printed dimension label independently viewed,0.0254,,,A,Basement bath nominal length; nominal room dimensions do not imply rectangular boundary
GUEST_BASE_BATH_WIDTH,HABS PA-5346-A sheet 1 original TIFF,5 ft 1 in,feet/inches,1.5494,printed dimension label independently viewed,0.0254,,,A,Basement bath nominal width; nominal room dimensions do not imply rectangular boundary
GUEST_SERVICE_Y_CHAIN,HABS PA-5346-A sheet 1 original TIFF,50 ft 10.25 in,feet/inches,15.50035,printed dimension label independently viewed,0.0127,,,A,Service wing surveyed vertical chain; nominal room dimensions do not imply rectangular boundary
GUEST_POOL_OUTER_WIDTH,HABS PA-5346-A sheet 1 original TIFF,31 ft 6.625 in,feet/inches,9.617075,printed dimension label independently viewed,0.0127,,,A,Pool exterior dimension chain; nominal room dimensions do not imply rectangular boundary
GUEST_THEATER_NORTH_RISE,HABS PA-5346-A sheet 1 original TIFF,14 ft 5.625 in,feet/inches,4.410075,printed dimension label independently viewed,0.0127,,,A,Theater angled end Y projection; nominal room dimensions do not imply rectangular boundary
GUEST_THEATER_EAST_SEGMENT,HABS PA-5346-A sheet 1 original TIFF,12 ft 8.75 in,feet/inches,3.87985,printed dimension label independently viewed,0.0127,,,A,Theater eastern wall dimension segment; nominal room dimensions do not imply rectangular boundary
GUEST_SECOND_LEVEL,HABS PA-5346-A sheet4 original TIFF,7 ft 8.625 in,feet/inches,2.352675,printed elevation label independently viewed,0.00635,2.352675,,A,"Second floor top datum relative guest main level0′0, not mainhouse datum"
GUEST_TOP_STONE,HABS PA-5346-A sheet4 original TIFF,14 ft 9.625 in,feet/inches,4.511675,printed elevation label independently viewed,0.00635,4.511675,,A,"Upper stone top relative guest main level0′0, not mainhouse datum"
GUEST_PARAPET,HABS PA-5346-A sheet4 original TIFF,10 ft 9.75 in,feet/inches,3.29565,printed elevation label independently viewed,0.00635,3.29565,,A,"Low-roof parapet top relative guest main level0′0, not mainhouse datum"
GUEST_CHIMNEY,HABS PA-5346-A sheet4 original TIFF,17 ft 2.75 in,feet/inches,5.25145,printed elevation label independently viewed,0.00635,5.25145,,A,"Chimney top relative guest main level0′0, not mainhouse datum"
GUEST_LOW_STONE,HABS PA-5346-A sheet4 original TIFF,6 ft 11.75 in,feet/inches,2.12725,printed elevation label independently viewed,0.00635,2.12725,,A,"Low guest arm stone top relative guest main level0′0, not mainhouse datum"
GUEST_POOL_TOP,HABS PA-5346-A sheet4 original TIFF,2 ft 3.75 in,feet/inches,0.70485,printed elevation label independently viewed,0.00635,0.70485,,A,"Pool wall top relative guest main level0′0, not mainhouse datum"
