room_id,previous04_a,previous04_b,current07_a,current07_b,readable_diagnostic_views,structure_findings,final_room_acceptance
MAIN_B_STAIR,LIMITED_COMPOSITION,FRAMING_FAIL,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
MAIN_B_WINE,READABLE_DIAGNOSTIC,LIMITED_COMPOSITION,READABLE_DIAGNOSTIC,LIMITED_COMPOSITION,1,[],NOT_ACCEPTED
MAIN_L1_COAT,LIMITED_COMPOSITION,FRAMING_FAIL,LIMITED_COMPOSITION,FRAMING_FAIL,0,[],NOT_ACCEPTED
MAIN_L1_ENTRY,READABLE_DIAGNOSTIC,LIMITED_COMPOSITION,READABLE_DIAGNOSTIC,LIMITED_COMPOSITION,1,[],NOT_ACCEPTED
MAIN_L1_HATCH,FRAMING_FAIL,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
MAIN_L1_KITCHEN,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
MAIN_L1_LIVING,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
MAIN_L1_LOGGIA,LIMITED_COMPOSITION,FRAMING_FAIL,LIMITED_COMPOSITION,LIMITED_COMPOSITION,0,['CAM_MAIN_L1_LOGGIA_A'],NOT_ACCEPTED
MAIN_L1_SERVANT,FRAMING_FAIL,FRAMING_FAIL,FRAMING_FAIL,FRAMING_FAIL,0,['CAM_MAIN_L1_SERVANT_B'],NOT_ACCEPTED
MAIN_L1_SERVICE_STAIR,FRAMING_FAIL,FRAMING_FAIL,LIMITED_COMPOSITION,LIMITED_COMPOSITION,0,[],NOT_ACCEPTED
MAIN_L1_STAIR,FRAMING_FAIL,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
MAIN_L1_TERRACE_E,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
MAIN_L1_TERRACE_W,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
MAIN_L2_BATH_G,FRAMING_FAIL,ILLUMINATION_FAIL,READABLE_DIAGNOSTIC,LIMITED_COMPOSITION,1,['CAM_MAIN_L2_BATH_G_B'],NOT_ACCEPTED
MAIN_L2_BATH_M,FRAMING_FAIL,ILLUMINATION_FAIL,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,['CAM_MAIN_L2_BATH_M_B'],NOT_ACCEPTED
MAIN_L2_BATH_N,FRAMING_FAIL,ILLUMINATION_FAIL,READABLE_DIAGNOSTIC,LIMITED_COMPOSITION,1,"['CAM_MAIN_L2_BATH_N_A', 'CAM_MAIN_L2_BATH_N_B']",NOT_ACCEPTED
MAIN_L2_CLOSET_G,LIMITED_COMPOSITION,FRAMING_FAIL,FRAMING_FAIL,FRAMING_FAIL,0,['CAM_MAIN_L2_CLOSET_G_A'],NOT_ACCEPTED
MAIN_L2_CLOSET_M,LIMITED_COMPOSITION,FRAMING_FAIL,LIMITED_COMPOSITION,FRAMING_FAIL,0,['CAM_MAIN_L2_CLOSET_M_B'],NOT_ACCEPTED
MAIN_L2_DRESSING,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,"['CAM_MAIN_L2_DRESSING_A', 'CAM_MAIN_L2_DRESSING_B']",NOT_ACCEPTED
MAIN_L2_GUEST,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,['CAM_MAIN_L2_GUEST_A'],NOT_ACCEPTED
MAIN_L2_HALL,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
MAIN_L2_MASTER,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,['CAM_MAIN_L2_MASTER_A'],NOT_ACCEPTED
MAIN_L2_STAIR,LIMITED_COMPOSITION,FRAMING_FAIL,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
MAIN_L2_TERRACE_E,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
MAIN_L2_TERRACE_N,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,['CAM_MAIN_L2_TERRACE_N_B'],NOT_ACCEPTED
MAIN_L2_TERRACE_S,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
MAIN_L2_TERRACE_W,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
MAIN_L3_ALCOVE,LIMITED_COMPOSITION,FRAMING_FAIL,LIMITED_COMPOSITION,FRAMING_FAIL,0,[],NOT_ACCEPTED
MAIN_L3_BATH,ILLUMINATION_FAIL,ILLUMINATION_FAIL,FRAMING_FAIL,LIMITED_COMPOSITION,0,['CAM_MAIN_L3_BATH_B'],NOT_ACCEPTED
MAIN_L3_GALLERY,READABLE_DIAGNOSTIC,LIMITED_COMPOSITION,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,['CAM_MAIN_L3_GALLERY_B'],NOT_ACCEPTED
MAIN_L3_LINK,LIMITED_COMPOSITION,LIMITED_COMPOSITION,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
MAIN_L3_STAIR,FRAMING_FAIL,LIMITED_COMPOSITION,LIMITED_COMPOSITION,READABLE_DIAGNOSTIC,1,['CAM_MAIN_L3_STAIR_B'],NOT_ACCEPTED
MAIN_L3_STUDY,LIMITED_COMPOSITION,LIMITED_COMPOSITION,READABLE_DIAGNOSTIC,LIMITED_COMPOSITION,1,[],NOT_ACCEPTED
MAIN_L3_TERRACE,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,READABLE_DIAGNOSTIC,2,[],NOT_ACCEPTED
